fecha,pais,incidencia_7d
2021-03-28,Peru,25.920541427146112
2021-03-29,Peru,25.68796112325908
2021-03-30,Peru,27.122704208888827
2021-03-31,Peru,25.746426263869218
2021-04-01,Peru,25.100749200050718
2021-04-02,Peru,24.02106448659347
2021-04-03,Peru,26.142026156902766
2021-04-04,Peru,23.88151630426125
2021-04-05,Peru,22.612780077736193
2021-04-06,Peru,22.398123393598247
2021-04-07,Peru,24.362466767528566
2021-04-08,Peru,24.971869838997716
2021-04-09,Peru,25.217252728419815
2021-04-10,Peru,23.95833181747164
2021-04-11,Peru,25.679426066235703
2021-04-12,Peru,28.08289812401879
2021-04-13,Peru,27.8784835083089
2021-04-14,Peru,26.93279919011868
2021-04-15,Peru,26.08057374633444
2021-04-16,Peru,25.53646386109413
2021-04-17,Peru,26.97035344102154
2021-04-18,Peru,25.832203586954158
2021-04-19,Peru,24.691493215779765
2021-04-20,Peru,24.35179794624934
2021-04-21,Peru,23.24394754461495
2021-04-22,Peru,25.341011055258786
2021-04-23,Peru,25.2078641656941
2021-04-24,Peru,22.84962791013491
2021-04-25,Peru,24.15591838756283
2021-04-26,Peru,24.121778159469322
2021-04-27,Peru,24.24724349771297
2021-04-28,Peru,25.7754454577487
2021-04-29,Peru,23.88706409132644
2021-04-30,Peru,24.12561893512984
2021-05-01,Peru,24.492199634283903
2021-05-02,Peru,22.955035864373627
2021-05-03,Peru,21.664108489587786
2021-05-04,Peru,21.091406163319164
2021-05-05,Peru,19.605452735549147
2021-05-06,Peru,18.61794663794438
2021-05-07,Peru,17.54722373436168
2021-05-08,Peru,17.357318715591532
2021-05-09,Peru,17.078649103778258
2021-05-10,Peru,17.130286198769692
2021-05-11,Peru,16.76797302812732
2021-05-12,Peru,16.747062138420045
2021-05-13,Peru,16.87807526372889
2021-05-14,Peru,17.57453591683649
2021-05-15,Peru,17.345369635758804
2021-05-16,Peru,16.892584860668627
2021-05-17,Peru,16.8738077352172
2021-05-18,Peru,16.541794017007817
2021-05-19,Peru,17.0547509441128
2021-05-20,Peru,16.92544483020863
2021-05-21,Peru,16.20636627598908
2021-05-22,Peru,15.808632618699693
2021-05-23,Peru,15.583733866133699
2021-05-24,Peru,15.471924619127455
2021-05-25,Peru,15.464243067806416
2021-05-26,Peru,14.334201517911241
2021-05-27,Peru,14.661094201906598
2021-05-28,Peru,14.351698384809165
2021-05-29,Peru,13.52550486494623
2021-05-30,Peru,13.651396956041046
2021-05-31,Peru,13.143987816001257
2021-06-01,Peru,12.87940104827656
2021-06-02,Peru,13.716263389418716
2021-06-03,Peru,12.30413820490092
2021-06-04,Peru,12.028882615896995
2021-06-05,Peru,11.36826920228758
2021-06-06,Peru,12.209825824792597
2021-06-07,Peru,12.26487694259338
2021-06-08,Peru,11.992181870696472
2021-06-09,Peru,11.067835195064694
2021-06-10,Peru,11.456607042479536
2021-06-11,Peru,10.997847727473001
2021-06-12,Peru,11.336262738449916
2021-06-13,Peru,9.341619912086609
2021-06-14,Peru,8.820127927958248
2021-06-15,Peru,8.558528430191728
2021-06-16,Peru,8.216272643554293
2021-06-17,Peru,8.340457723244436
2021-06-18,Peru,10.236520640987733
2021-06-19,Peru,10.43794798673944
2021-06-20,Peru,10.721311879915572
2021-06-21,Peru,10.954745689504945
2021-06-22,Peru,11.095574130390672
2021-06-23,Peru,11.248778403960298
2021-06-24,Peru,11.150625248191457
2021-06-25,Peru,9.07233886299905
2021-06-26,Peru,8.73563086342681
2021-06-27,Peru,8.570477510024457
2021-06-28,Peru,8.248279107391959
2021-06-29,Peru,7.890660218112443
2021-06-30,Peru,8.089527046757139
2021-07-01,Peru,7.877430879726208
2021-07-02,Peru,7.692646895170086
2021-07-03,Peru,7.411843519100969
2021-07-04,Peru,7.289792203666671
2021-07-05,Peru,7.278269876685111
2021-07-06,Peru,7.253944964168487
2021-07-07,Peru,7.301741283499401
2021-07-08,Peru,7.24882392995446
2021-07-09,Peru,7.3239324317601815
2021-07-10,Peru,7.09775342064068
2021-07-11,Peru,5.907112965879527
2021-07-12,Peru,6.701300021904797
2021-07-13,Peru,6.684656660709211
2021-07-14,Peru,6.350082425392816
2021-07-15,Peru,6.194744387567346
2021-07-16,Peru,6.079521117751751
2021-07-17,Peru,5.956189543763947
2021-07-18,Peru,6.823351337339095
2021-07-19,Peru,5.680080449057686
2021-07-20,Peru,5.5379717496184515
2021-07-21,Peru,5.499990745864422
2021-07-22,Peru,5.3113659856477815
2021-07-23,Peru,5.090308008742305
2021-07-24,Peru,4.856020693450595
2021-07-25,Peru,4.678918260215513
2021-07-26,Peru,4.599968982749272
2021-07-27,Peru,4.540650336436799
2021-07-28,Peru,4.5065101083432895
2021-07-29,Peru,4.420306032407177
2021-07-30,Peru,4.29398718846119
2021-07-31,Peru,3.8719286186551756
2021-08-01,Peru,3.4801695012821514
2021-08-02,Peru,3.6227049535725544
2021-08-03,Peru,3.758412360244256
2021-08-04,Peru,4.028546915034152
2021-08-05,Peru,4.3874460628671725
2021-08-06,Peru,4.777498168835522
2021-08-07,Peru,5.319901042671158
2021-08-08,Peru,5.660023065052749
2021-08-09,Peru,5.434697559635586
2021-08-10,Peru,5.182486624594781
2021-08-11,Peru,4.866262761878647
2021-08-12,Peru,4.43054810083523
2021-08-13,Peru,4.031960937843502
2021-08-14,Peru,3.8224252879195864
2021-08-15,Peru,3.7468900332626967
2021-08-16,Peru,3.7153103222761996
2021-08-17,Peru,3.6133163908468395
2021-08-18,Peru,3.6346540334052833
2021-08-19,Peru,3.7524378203278914
2021-08-20,Peru,3.7464632804115277
2021-08-21,Peru,3.6905586569084052
2021-08-22,Peru,3.723418626448408
2021-08-23,Peru,3.585150702669694
2021-08-24,Peru,3.559545531599561
2021-08-25,Peru,3.49937337958475
2021-08-26,Peru,3.3559844215920096
2021-08-27,Peru,3.3098951136657715
2021-08-28,Peru,3.2019266423200468
2021-08-29,Peru,3.0824358439927626
2021-08-30,Peru,3.065792482797176
2021-08-31,Peru,3.0188496691686004
2021-09-01,Peru,2.9983655323124947
2021-09-02,Peru,2.694944255131427
2021-09-03,Peru,2.5430202401153084
2021-09-04,Peru,2.5387527116036197
2021-09-05,Peru,2.47815380673764
2021-09-06,Peru,2.4380390387277657
2021-09-07,Peru,2.47815380673764
2021-09-08,Peru,2.5250966203662157
2021-09-09,Peru,2.7504221257833805
2021-09-10,Peru,2.7849891067280588
2021-09-11,Peru,2.720549426201559
2021-09-12,Peru,2.6518422171633707
2021-09-13,Peru,2.6437339129911623
2021-09-14,Peru,2.5827082552740133
2021-09-15,Peru,2.496504179337901
2021-09-16,Peru,2.4935169093797187
2021-09-17,Peru,2.4649244683514047
2021-09-18,Peru,2.5122940348311493
2021-09-19,Peru,2.657390004228566
2021-09-20,Peru,2.599778369320768
2021-09-21,Peru,2.5272303846220603
2021-09-22,Peru,2.6859824452568803
2021-09-23,Peru,2.6189822476233675
2021-09-24,Peru,2.6095936848976526
2021-09-25,Peru,2.601058627874275
2021-09-26,Peru,2.492663403677381
2021-09-27,Peru,2.49309015652855
2021-09-28,Peru,2.571612681143623
2021-09-29,Peru,2.433344757364908
2021-09-30,Peru,2.470045502565431
2021-10-01,Peru,2.5084532591706297
2021-10-02,Peru,2.4947971679332257
2021-10-03,Peru,2.5216825975568646
